question,expected_answer
"Define the provisions of Short title, extent, commencement and application (Section 1).","Section 1: Short title, extent, commencement and application."
Define the provisions of Definitions (Section 2).,"Section 2: Definitions.
CHAPTER II
REGISTRATION"
Define the provisions of Registration of certain establishments (Section 3).,Section 3: Registration of certain establishments.
Define the provisions of Notice by employer of commencement and cessation of operation (Section 5).,"Section 5: Notice by employer of commencement and cessation of operation.
CHAPTER III
DUTIES OF EMPLOYER AND EMPLOYEES, ETC."
Define the provisions of Duties of employer (Section 6).,Section 6: Duties of employer.
"Define the provisions of Duties and responsibilities of owner, agent and manager in relation to mine (Section 7).","Section 7: Duties and responsibilities of owner, agent and manager in relation to mine."
"Define the provisions of Duties of manufacturers, designer, importers or suppliers (Section 8).","Section 8: Duties of manufacturers, designer, importers or suppliers."
"Define the provisions of Duties of architects, project engineers and designers (Section 9).","Section 9: Duties of architects, project engineers and designers."
Define the provisions of Notice of certain accident (Section 10).,Section 10: Notice of certain accident.
Define the provisions of Notice of certain dangerous occurrences (Section 11).,Section 11: Notice of certain dangerous occurrences.
Define the provisions of Notice of certain diseases (Section 12).,Section 12: Notice of certain diseases.
Define the provisions of Duties of employees (Section 13).,Section 13: Duties of employees.
Define the provisions of Rights of employee (Section 14).,Section 14: Rights of employee.
Define the provisions of National Occupational Safety and Health Advisory Board (Section 16).,Section 16: National Occupational Safety and Health Advisory Board.
Define the provisions of Occupational safety and health standards (Section 18).,Section 18: Occupational safety and health standards.
Define the provisions of Safety and occupational health surveys (Section 20).,Section 20: Safety and occupational health surveys.
Define the provisions of Statistics (Section 21).,Section 21: Statistics.
Define the provisions of Safety Committee and safety officers (Section 22).,"Section 22: Safety Committee and safety officers.
Bill No. 186 of  2019
AS INTRODUCED IN LOK SABHA
(ii)
CLAUSES
CHAPTER V
HEALTH AND WORKING CONDITIONS"
Define the provisions of Responsibility of employer for maintaining health and working conditions (Section 23).,"Section 23: Responsibility of employer for maintaining health and working conditions.
CHAPTER VI
WELFARE PROVISIONS"
Define the provisions of Welfare facilities in the establishment (Section 24).,"Section 24: Welfare facilities in the establishment, etc.
CHAPTER VII
HOURS OF WORK AND ANNUAL LEAVE  WITH WAGES"
"Define the provisions of Weekly and daily working hours, leave, etc. (Section 25).","Section 25: Weekly and daily working hours, leave, etc."
Define the provisions of Weekly and compensatory holidays (Section 26).,Section 26: Weekly and compensatory holidays.
Define the provisions of Extra wages for overtime (Section 27).,Section 27: Extra wages for overtime.
Define the provisions of Night shifts (Section 28).,Section 28: Night shifts.
Define the provisions of Annual leave with wages (Section 32).,"Section 32: Annual leave with wages, etc.
CHAPTER VIII
MAINTENANCE OF REGISTERS, RECORDS  AND RETURNS"
Define the provisions of Maintenance of registers and records and filing of returns (Section 33).,"Section 33: Maintenance of registers and records and filing of returns.
CHAPTER IX
INSPECTOR-CUM-FACILITATORS AND  OTHER AUTHORITY"
Define the provisions of Appointment of Inspector-cum-Facilitators (Section 34).,Section 34: Appointment of Inspector-cum-Facilitators.
Define the provisions of Powers of Inspector-cum-Facilitators (Section 35).,Section 35: Powers of Inspector-cum-Facilitators.
Define the provisions of Employment of women in night (Section 43).,Section 43: Employment of women in night.
Define the provisions of Applicability of contract labour part (Section 45).,Section 45: Applicability of this Part.
Define the provisions of Licensing of contractors (Section 47).,Section 47: Licensing of contractors.
Define the provisions of Liability of principal employer for welfare facilities (Section 53).,Section 53: Liability of principal employer for welfare facilities.
Define the provisions of Prohibition of employment of audio-visual worker without agreement (Section 63).,"Section 63: Prohibition of employment of audio-visual worker without agreement.
PART III
MINES"
Define the provisions of Managers (Section 64).,Section 64: Managers.
Define the provisions of Approval and licensing of factories (Section 74).,Section 74: Approval and licensing of factories.
Define the provisions of General penalty for offences (Section 87).,Section 87: General penalty for offences.
"Define the provisions of Penalty for non-maintenance of register, records and non-filing of returns (Section 89).","Section 89: Penalty for  non-maintenance of register, records and non-filing of returns, etc."
Define the provisions of Penalty for contravention of duties relating to safety provisions resulting in an accident (Section 96).,"Section 96: Penalty for contravention of the provisions of duties relating to safety provisions
resulting in an accident."
Define the provisions of Repeal and savings (Section 134).,"Section 134: Repeal and savings.
THE FIRST SCHEDULE.
THE SECOND SCHEDULE.
THE THIRD SCHEDULE.
(vi)
1
THE OCCUPATIONAL SAFETY, HEALTH AND WORKING
CONDITIONS CODE, 2019
A
BILL
to consolidate and amend the laws regulating the occupational safety, health and
working conditions of the persons employed in an establishment and the matters
connected therewith or incidental thereto.
BE it enacted by Parliament in the Seventieth Year of the Republic of India as
follows:—
CHAPTER I
PRELIMINARY"
Supplementary question 40,Supplementary answer: refer to OSH Code.
